,Unemployment Insurance: Jobless Claims: Initial
Region,United States
Frequency,Weekly beginning at Saturday
Unit,Person th
Source,US Department of Labor
Status,Active
Series ID,298084001 (UGFEAA)
SR Code,SR4526209
Function Information,
First Obs. Date,7/1/1967
Last Obs. Date,29/09/2018
Last Update Time,4/10/2018
Remarks,
Suggestions,
Mean,353.309037
Variance,13516.98812
Standard Deviation,116.2625826
Skewness,1.235564255
Kurtosis,2.624930684
Coefficient Variation,0.329067673
Min,133
Max,1073.5
Median,332.2305
No. of Obs,2700
7/11/1981,534
14/11/1981,483
21/11/1981,522
28/11/1981,535
5/12/1981,726
12/12/1981,657
19/12/1981,644
26/12/1981,702
2/1/1982,694.3
9/1/1982,1073.5
16/01/1982,761.7
23/01/1982,771.2
30/01/1982,692.3
6/2/1982,671
13/02/1982,532.8
20/02/1982,522.9
27/02/1982,536.3
6/3/1982,566.3
13/03/1982,515.1
20/03/1982,510.5
27/03/1982,501.5
3/4/1982,516.6
10/4/1982,606.3
17/04/1982,540.3
24/04/1982,518.6
1/5/1982,475.6
8/5/1982,516.5
15/05/1982,486.5
22/05/1982,486.3
29/05/1982,485.8
5/6/1982,478.6
12/6/1982,541.6
19/06/1982,508.1
26/06/1982,507.7
3/7/1982,594.4
10/7/1982,631.4
17/07/1982,647
24/07/1982,576.1
31/07/1982,562.6
7/8/1982,569.2
14/08/1982,536.4
21/08/1982,510.4
28/08/1982,502.3
4/9/1982,537.6
11/9/1982,467.7
18/09/1982,559.5
25/09/1982,535
2/10/1982,565.6
9/10/1982,638.1
16/10/1982,540.3
23/10/1982,577.6
30/10/1982,576.8
6/11/1982,604.8
13/11/1982,546.7
20/11/1982,650.4
27/11/1982,574.1
4/12/1982,709.4
11/12/1982,638.2
18/12/1982,598
25/12/1982,653.6
1/1/1983,745.1
8/1/1983,976.6
15/01/1983,773.6
22/01/1983,650.6
29/01/1983,597.7
5/2/1983,594.2
12/2/1983,525.1
19/02/1983,506.3
26/02/1983,448.7
5/3/1983,497.4
12/3/1983,459.7
19/03/1983,427.5
26/03/1983,422.1
2/4/1983,423
9/4/1983,509.7
16/04/1983,464.8
23/04/1983,431.3
30/04/1983,399.9
7/5/1983,435
14/05/1983,385.2
21/05/1983,380.3
28/05/1983,373
4/6/1983,351.1
11/6/1983,390.1
18/06/1983,369.2
25/06/1983,383.5
2/7/1983,397.4
9/7/1983,451.9
16/07/1983,459.4
23/07/1983,428.3
30/07/1983,383.4
6/8/1983,382.5
13/08/1983,382.3
20/08/1983,356.9
27/08/1983,323.6
3/9/1983,328.8
10/9/1983,288.7
17/09/1983,326.9
24/09/1983,324.7
1/10/1983,318.5
8/10/1983,390.5
15/10/1983,319.9
22/10/1983,354.9
29/10/1983,356.4
5/11/1983,398.2
12/11/1983,347.3
19/11/1983,431.9
26/11/1983,362.9
3/12/1983,458.4
10/12/1983,442.9
17/12/1983,414.6
24/12/1983,496.8
31/12/1983,558.9
7/1/1984,621.6
14/01/1984,637.9
21/01/1984,475.1
28/01/1984,448.5
4/2/1984,408.4
11/2/1984,381.5
18/02/1984,349.3
25/02/1984,329.1
3/3/1984,350.5
10/3/1984,344
17/03/1984,323.5
24/03/1984,317.6
31/03/1984,291.4
7/4/1984,390.3
14/04/1984,330.8
21/04/1984,326.5
28/04/1984,309.3
5/5/1984,318.9
12/5/1984,312.1
19/05/1984,294.2
26/05/1984,292.7
2/6/1984,268.7
9/6/1984,333.8
16/06/1984,309.9
23/06/1984,316.8
30/06/1984,329
7/7/1984,432.5
14/07/1984,435.9
21/07/1984,396.2
28/07/1984,343.8
4/8/1984,348.1
11/8/1984,328.1
18/08/1984,321
25/08/1984,303.3
1/9/1984,303.5
8/9/1984,289.3
15/09/1984,320.7
22/09/1984,313.2
29/09/1984,304.7
6/10/1984,373.3
13/10/1984,353.2
20/10/1984,378.7
27/10/1984,380.5
3/11/1984,413.4
10/11/1984,397.5
17/11/1984,370.8
24/11/1984,387
1/12/1984,494.7
8/12/1984,477.9
15/12/1984,443.7
22/12/1984,482.3
29/12/1984,527.5
5/1/1985,568.3
12/1/1985,770
19/01/1985,537.7
26/01/1985,478.3
2/2/1985,452.4
9/2/1985,473.3
16/02/1985,404.7
23/02/1985,379
2/3/1985,377.3
9/3/1985,389.2
16/03/1985,360.5
23/03/1985,346.7
30/03/1985,329.1
6/4/1985,398
13/04/1985,397.5
20/04/1985,351.8
27/04/1985,324.7
4/5/1985,335.6
11/5/1985,339.1
18/05/1985,324.9
25/05/1985,328.5
1/6/1985,293.5
8/6/1985,368.9
15/06/1985,339.2
22/06/1985,339.5
29/06/1985,349.8
6/7/1985,409.5
13/07/1985,481.5
20/07/1985,413.7
27/07/1985,358.7
3/8/1985,365.8
10/8/1985,358.2
17/08/1985,319.4
24/08/1985,314.8
31/08/1985,317.6
7/9/1985,304.7
14/09/1985,332.9
21/09/1985,317.6
28/09/1985,301.6
5/10/1985,355.6
12/10/1985,358
19/10/1985,331
26/10/1985,375.7
2/11/1985,375.3
9/11/1985,404.1
16/11/1985,380.3
23/11/1985,423.1
30/11/1985,384.7
7/12/1985,504.2
14/12/1985,443.4
21/12/1985,458.2
28/12/1985,548.2
4/1/1986,547.5
11/1/1986,803.9
18/01/1986,568.8
25/01/1986,395.7
1/2/1986,425.4
8/2/1986,438.1
15/02/1986,374.2
22/02/1986,382.2
1/3/1986,381.2
8/3/1986,371.7
15/03/1986,361.6
22/03/1986,363.1
29/03/1986,333.3
5/4/1986,366.1
12/4/1986,386.1
19/04/1986,348.7
26/04/1986,335.1
3/5/1986,333.6
10/5/1986,343.8
17/05/1986,319
24/05/1986,321.7
31/05/1986,278.7
7/6/1986,342.2
14/06/1986,324.7
21/06/1986,327.4
28/06/1986,336.1
5/7/1986,377.4
12/7/1986,456.2
19/07/1986,402.4
26/07/1986,370.7
2/8/1986,370.9
9/8/1986,376.9
16/08/1986,326
23/08/1986,310.2
30/08/1986,307.1
6/9/1986,283.7
13/09/1986,320.8
20/09/1986,315.8
27/09/1986,294.2
4/10/1986,328.9
11/10/1986,357.7
18/10/1986,313
25/10/1986,332.4
1/11/1986,334.1
8/11/1986,357.6
15/11/1986,347.4
22/11/1986,410.6
29/11/1986,350.9
6/12/1986,462.7
13/12/1986,438.6
20/12/1986,423.8
27/12/1986,483.9
3/1/1987,483.977
10/1/1987,710.493
17/01/1987,545.768
24/01/1987,412.977
31/01/1987,435.743
7/2/1987,444.24
14/02/1987,359.219
21/02/1987,332.93
28/02/1987,355.357
7/3/1987,343.065
14/03/1987,321.153
21/03/1987,313.104
28/03/1987,288.648
4/4/1987,308.94
11/4/1987,344.364
18/04/1987,305.201
25/04/1987,285.566
2/5/1987,277.726
9/5/1987,276.773
16/05/1987,283.832
23/05/1987,286.15
30/05/1987,242.793
6/6/1987,299.672
13/06/1987,281.043
20/06/1987,285.191
27/06/1987,294.288
4/7/1987,321.855
